family,model,variant,source,accuracy,f1_macro,f1_micro,f1_weighted
ML,svm,base,ml_baselines,0.7921380090497737,0.7828809853255058,0.7921380090497737,0.7900532700965568
ML,sgd,base,ml_baselines,0.8033088235294118,0.7856634455880952,0.8033088235294118,0.8005606491117906
ML,pa,base,ml_baselines,0.7911481900452488,0.7796380755907417,0.7911481900452488,0.7883690136877711
ML,svm,hier_fusion_opt,ml_baselines+weighted,0.7965214932126696,0.7823313109037232,0.7965214932126696,0.7944841331002159
ML,sgd,hier_fusion,ml_baselines,0.8042986425339367,0.7866131627658399,0.8042986425339367,0.8013682572347255
ML,pa,hier_fusion,ml_baselines,0.7929864253393665,0.7833818141473317,0.7929864253393665,0.7899954374221799
DL,fc,flat,deep_hierarchical_fc_c2r_tune1,0.8293269230769231,0.7941248473205361,0.8293269230769231,0.82412722303859
DL,fc,hier_fusion,deep_hierarchical_fc_c2r_tune1,0.8294683257918553,0.7950239944851085,0.8294683257918553,0.8244037031911308
DL,rcnn,flat,deep_hierarchical_rcnn_c2r,0.8125,0.7509470331337638,0.8125,0.8044013095144461
DL,rcnn,hier_fusion_opt,deep_hierarchical_rcnn_c2r+sweep,0.8154694570135747,0.7596828940890391,0.8154694570135747,0.8086262084688882
